Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
CMP,"Compass Minerals International, Inc.",51.45,$1.74B,2003,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/cmp,
CRK,"Comstock Resources, Inc.",4.78,$1.11B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/crk,
CAG,"ConAgra Brands, Inc.",36.58,$17.82B,n/a,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/cag,
CXO,Concho Resources Inc.,50.44,$9.92B,2007,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cxo,
CCM,Concord Medical Services Holdings Limited,1.63,$70.76M,2009,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/ccm,
CNMD,CONMED Corporation,79.27,$2.26B,1987,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/cnmd,
COP,ConocoPhillips,39.96,$42.85B,n/a,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/cop,
CCR,CONSOL Coal Resources LP,3.77,$104.39M,2015,Energy,Coal Mining,https://old.nasdaq.com/symbol/ccr,
CEIX,CONSOL Energy Inc.,5.86,$152.53M,2017,Energy,Coal Mining,https://old.nasdaq.com/symbol/ceix,
ED,Consolidated Edison Inc,74.07,$24.75B,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/ed,
STZ,Constellation Brands Inc,180.61,$34.86B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/stz,
CSTM,Constellium SE,8.88,$1.22B,2013,Basic Industries,Metal Fabrications,https://old.nasdaq.com/symbol/cstm,
TCS,Container Store (The),4.18,$210.52M,2013,Consumer Services,Home Furnishings,https://old.nasdaq.com/symbol/tcs,
CLR,"Continental Resources, Inc.",17.18,$6.27B,2007,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/clr,
VLRS,"Controladora Vuela Compania de Aviacion, S.A.B. de C.V.",4.97,$495.38M,2013,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/vlrs,
CTRA,"Contura Energy, Inc.",3.43,$62.77M,2018,Energy,Coal Mining,https://old.nasdaq.com/symbol/ctra,
CTB,Cooper Tire & Rubber Company,30.42,$1.53B,n/a,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/ctb,
CPS,Cooper-Standard Holdings Inc.,11.18,$188.77M,n/a,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/cps,
CTK,CooTek (Cayman) Inc.,6.91,$427.09M,2018,Technology,EDP Services,https://old.nasdaq.com/symbol/ctk,
CPA,"Copa Holdings, S.A.",47.89,$2.03B,2005,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/cpa,
CLB,Core Laboratories N.V.,20.3,$902.47M,1995,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/clb,
CXW,"CoreCivic, Inc.",9.14,$1.09B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cxw,
CLGX,"CoreLogic, Inc.",67.77,$5.38B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/clgx,
CORR,"CorEnergy Infrastructure Trust, Inc.",8.8,$120.13M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/corr,
CPLG,CorePoint Lodging Inc.,5.04,$293.1M,2018,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cplg,
COR,CoreSite Realty Corporation,120.2,$4.56B,2010,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cor,
CNR,"Cornerstone Building Brands, Inc.",5.72,$721.58M,n/a,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/cnr,
GLW,Corning Incorporated,29.04,$22.1B,n/a,Basic Industries,Telecommunications Equipment,https://old.nasdaq.com/symbol/glw,
CAAP,Corporacion America Airports SA,2.52,$403.26M,2018,Transportation,Aerospace,https://old.nasdaq.com/symbol/caap,
OFC,Corporate Office Properties Trust,25.31,$2.84B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ofc,
CTVA,"Corteva, Inc.",28.35,$21.22B,2019,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/ctva,
CZZ,Cosan Limited,17.79,$3.95B,n/a,Consumer Non-Durables,Specialty Foods,https://old.nasdaq.com/symbol/czz,
CMRE,Costamare Inc.,4.88,$585.27M,2010,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/cmre,
COTY,Coty Inc.,4.2,$3.21B,2013,Consumer Non-Durables,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/coty,
CUZ,Cousins Properties Incorporated,29.61,$4.4B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cuz,
CVA,Covanta Holding Corporation,9.74,$1.29B,n/a,Basic Industries,Electric Utilities: Central,https://old.nasdaq.com/symbol/cva,
CPF,CPB Inc.,14.73,$414.14M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/cpf,
CR,Crane Co.,60.24,$3.49B,n/a,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/cr,
BAP,Credicorp Ltd.,128.51,$10.25B,n/a,Finance,Commercial Banks,https://old.nasdaq.com/symbol/bap,
CS,Credit Suisse Group,10.64,$25.53B,n/a,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/cs,
CPG,Crescent Point Energy Corporation,1.55,$819.89M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cpg,
CEQP,Crestwood Equity Partners LP,13.53,$990.03M,n/a,Public Utilities,Oil & Gas Production,https://old.nasdaq.com/symbol/ceqp,
CRH,CRH PLC,38.15,$29.94B,n/a,Capital Goods,Building Materials,https://old.nasdaq.com/symbol/crh,
CRT,Cross Timbers Royalty Trust,6.17,$37.02M,1992,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/crt,
CAPL,CrossAmerica Partners LP,12.74,$482.41M,2012,Energy,Oil Refining/Marketing,https://old.nasdaq.com/symbol/capl,
CCI,Crown Castle International Corporation,168.96,$70.41B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cci,
CCK,"Crown Holdings, Inc.",68.26,$9.19B,n/a,Consumer Durables,Containers/Packaging,https://old.nasdaq.com/symbol/cck,
CRY,"CryoLife, Inc.",18.96,$715.56M,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/cry,
CTS,CTS Corporation,19.88,$641.33M,n/a,Technology,Electrical Products,https://old.nasdaq.com/symbol/cts,
CUBE,CubeSmart,28.73,$5.56B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cube,
CUB,Cubic Corporation,46.32,$1.45B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/cub,
CFR,"Cullen/Frost Bankers, Inc.",69.81,$4.37B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/cfr,
CULP,"Culp, Inc.",9.66,$118.67M,n/a,Basic Industries,Textiles,https://old.nasdaq.com/symbol/culp,
CMI,Cummins Inc.,183.11,$27.01B,n/a,Energy,Industrial Machinery/Components,https://old.nasdaq.com/symbol/cmi,
CURO,CURO Group Holdings Corp.,7.61,$309.99M,2017,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/curo,
CW,Curtiss-Wright Corporation,92.12,$3.84B,n/a,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/cw,
SRV,Cushing MLP & Infrastructure Total Return Fund,17.42,$29.33M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/srv,
SZC,Cushing NextGen Infrastructure Income Fund,31.01,$80.68M,2012,n/a,n/a,https://old.nasdaq.com/symbol/szc,
CWK,Cushman & Wakefield plc,11.59,$2.55B,2018,Finance,Real Estate,https://old.nasdaq.com/symbol/cwk,
CUBI,"Customers Bancorp, Inc",11.16,$351.44M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/cubi,
CVI,CVR Energy Inc.,19.24,$1.93B,2007,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/cvi,
UAN,"CVR Partners, LP",0.921,$104.33M,2011,Basic Industries,Agricultural Chemicals,https://old.nasdaq.com/symbol/uan,
CVS,CVS Health Corporation,65.36,$85.43B,n/a,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/cvs,
CELP,"Cypress Environmental Partners, L.P. ",3.9999,$48.84M,2014,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/celp,
DHI,"D.R. Horton, Inc.",63.48,$23.08B,n/a,Capital Goods,Homebuilding,https://old.nasdaq.com/symbol/dhi,
DAN,Dana Incorporated,12.53,$1.81B,n/a,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/dan,
DHR,Danaher Corporation,190.95,$135.01B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/dhr,
DAC,Danaos Corporation,3.41,$84.53M,2006,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/dac,
DQ,DAQO New Energy Corp.,88.71,$1.23B,2010,Technology,Semiconductors,https://old.nasdaq.com/symbol/dq,
DRI,"Darden Restaurants, Inc.",77.51,$10.06B,n/a,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/dri,
DAR,Darling Ingredients Inc.,27.87,$4.51B,n/a,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/dar,
DVA,DaVita Inc.,85.11,$10.37B,n/a,Health Care,Misc Health and Biotechnology Services,https://old.nasdaq.com/symbol/dva,
DCP,DCP Midstream LP,11.81,$2.46B,n/a,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/dcp,
DECK,Deckers Outdoor Corporation,201.35,$5.64B,1993,Consumer Non-Durables,Shoe Manufacturing,https://old.nasdaq.com/symbol/deck,
DE,Deere & Company,176.51,$55.22B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/de,
DEX,Delaware Enhanced Global Dividend,8.31,$99.78M,2007,n/a,n/a,https://old.nasdaq.com/symbol/dex,
DDF,"Delaware Investments Dividend & Income Fund, Inc.",8.29,$63.73M,1993,n/a,n/a,https://old.nasdaq.com/symbol/ddf,
DKL,"Delek Logistics Partners, L.P.",23.91,$703.57M,2012,Energy,Natural Gas Distribution,https://old.nasdaq.com/symbol/dkl,
DK,"Delek US Holdings, Inc.",17.76,$1.31B,2017,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/dk,
DELL,Dell Technologies Inc.,60.37,$44.72B,2018,Technology,Computer Manufacturing,https://old.nasdaq.com/symbol/dell,
DLPH,Delphi Technologies PLC,15.64,$1.35B,2017,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/dlph,
DAL,"Delta Air Lines, Inc.",27.05,$17.25B,n/a,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/dal,
DLX,Deluxe Corporation,21.46,$897.71M,n/a,Consumer Durables,Publishing,https://old.nasdaq.com/symbol/dlx,
DNR,Denbury Resources Inc.,0.2274,$115.17M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/dnr,
DBI,Designer Brands Inc.,6.2,$447.07M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/dbi,
DESP,"Despegar.com, Corp.",7.71,$536.99M,2017,Consumer Services,Transportation Services,https://old.nasdaq.com/symbol/desp,
DB,Deutsche Bank AG,9.97,$20.59B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/db,
DVN,Devon Energy Corporation,10.29,$3.94B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/dvn,
DHX,"DHI Group, Inc.",2.32,$123.19M,2007,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/dhx,
DHT,"DHT Holdings, Inc.",5.38,$793.12M,2005,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/dht,
DEO,Diageo plc,142.5,$83.27B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/deo,
DSSI,Diamond S Shipping Inc.,8.22,$332.5M,2019,Consumer Services,Transportation Services,https://old.nasdaq.com/symbol/dssi,
DRH,Diamondrock Hospitality Company,5.07,$1.01B,2005,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/drh,
DSX,Diana Shipping inc.,1.41,$125.88M,2005,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/dsx,
DKS,Dick&#39;s Sporting Goods Inc,41,$3.67B,2002,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/dks,
DBD,Diebold Nixdorf Incorporated,5.96,$462.75M,n/a,Miscellaneous,Office Equipment/Supplies/Services,https://old.nasdaq.com/symbol/dbd,
DLR,"Digital Realty Trust, Inc.",143.75,$38.57B,2004,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dlr,
DDS,"Dillard&#39;s, Inc.",24.71,$574.01M,n/a,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/dds,
DIN,"Dine Brands Global, Inc.",38.71,$635.56M,n/a,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/din,
DFS,Discover Financial Services,48.99,$15.01B,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/dfs,
DNI,Dividend and Income Fund,10.87,$135.33M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dni,
DMYT,"dMY Technology Group, Inc.",10.61,$305.04M,2020,Finance,Business Services,https://old.nasdaq.com/symbol/dmyt,
DLB,Dolby Laboratories,66.1,$6.65B,2005,Miscellaneous,Multi-Sector Companies,https://old.nasdaq.com/symbol/dlb,
DG,Dollar General Corporation,188.48,$47.44B,2009,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/dg,
D,"Dominion Energy, Inc.",78.58,$65.95B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/d,
DPZ,Domino&#39;s Pizza Inc,390.22,$15.26B,2004,Consumer Non-Durables,Food Distributors,https://old.nasdaq.com/symbol/dpz,
UFS,Domtar Corporation,22.39,$1.24B,n/a,Basic Industries,Paper,https://old.nasdaq.com/symbol/ufs,
DCI,"Donaldson Company, Inc.",48.09,$6.07B,n/a,Capital Goods,Pollution Control Equipment,https://old.nasdaq.com/symbol/dci,
DFIN,"Donnelley Financial Solutions, Inc.",8.31,$280.32M,2016,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/dfin,
LPG,Dorian LPG Ltd.,7.67,$389.85M,2014,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/lpg,
DSL,DoubleLine Income Solutions Fund,15.55,$1.58B,2013,n/a,n/a,https://old.nasdaq.com/symbol/dsl,
DBL,DoubleLine Opportunistic Credit Fund,18.76,$280.36M,2012,n/a,n/a,https://old.nasdaq.com/symbol/dbl,
PLOW,"Douglas Dynamics, Inc.",35.68,$815.55M,2010,Capital Goods,Construction/Ag Equipment/Trucks,https://old.nasdaq.com/symbol/plow,
DEI,"Douglas Emmett, Inc.",29.73,$5.21B,2006,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dei,
DOV,Dover Corporation,103.58,$14.91B,n/a,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/dov,
DVD,"Dover Motorsports, Inc.",1.4998,$54.61M,1996,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/dvd,
DOW,Dow Inc.,43.67,$32.35B,2019,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/dow,
RDY,Dr. Reddy&#39;s Laboratories Ltd,54.97,$9.12B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/rdy,
DRD,DRDGOLD Limited,15.42,$1.32B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/drd,
DRQ,"Dril-Quip, Inc.",32.16,$1.13B,1997,Energy,Metal Fabrications,https://old.nasdaq.com/symbol/drq,
DS,Drive Shack Inc.,1.78,$119.39M,n/a,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/ds,
DTE,DTE Energy Company,111.51,$21.48B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/dte,
DCO,Ducommun Incorporated,33.98,$395.82M,n/a,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/dco,
DSE,Duff & Phelps Select MLP and Midstream Energy Fund,0.5347,$14.03M,2014,n/a,n/a,https://old.nasdaq.com/symbol/dse,
DNP,"Duff & Phelps Utilities Income, Inc.",10.94,$3.32B,1987,n/a,n/a,https://old.nasdaq.com/symbol/dnp,
DTF,"Duff & Phelps Utilities Tax-Free Income, Inc.",14.315,$121.97M,1991,n/a,n/a,https://old.nasdaq.com/symbol/dtf,
DUC,"Duff & Phelps Utility & Corporate Bond Trust, Inc.",9.32,$256.25M,1993,n/a,n/a,https://old.nasdaq.com/symbol/duc,
DPG,Duff & Phelps Utility and Infrastructure Fund Inc.,11.41,$432.78M,2011,n/a,n/a,https://old.nasdaq.com/symbol/dpg,
DUK,Duke Energy Corporation,82.4,$60.55B,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/duk,
DRE,Duke Realty Corporation,36.08,$13.29B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dre,
DNB,"Dun & Bradstreet Holdings, Inc.",25.71,$10.57B,2020,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/dnb,
DD,"DuPont de Nemours, Inc.",54.52,$40.01B,2017,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/dd,
DXC,DXC Technology Company,16.81,$4.27B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/dxc,
DY,"Dycom Industries, Inc.",41.6,$1.32B,n/a,Basic Industries,Water Supply,https://old.nasdaq.com/symbol/dy,
DLNG,Dynagas LNG Partners LP,3.49,$123.86M,n/a,Consumer Services,Marine Transportation,https://old.nasdaq.com/symbol/dlng,
DT,"Dynatrace, Inc.",41.64,$11.7B,2019,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/dt,
DX,"Dynex Capital, Inc.",14.93,$343.12M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dx,
ELF,"e.l.f. Beauty, Inc.",19.46,$973.18M,2016,Consumer Non-Durables,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/elf,
EGIF,Eagle Growth and Income Opportunities Fund,12.34,$87.92M,2015,n/a,n/a,https://old.nasdaq.com/symbol/egif,
EXP,Eagle Materials Inc,76.29,$3.19B,n/a,Capital Goods,Building Materials,https://old.nasdaq.com/symbol/exp,
ECC           ,Eagle Point Credit Company Inc.,7.23,$215.86M,2014,n/a,n/a,https://old.nasdaq.com/symbol/ecc,
ESTE,"Earthstone Energy, Inc.",3.12,$202.53M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/este,
DEA,"Easterly Government Properties, Inc.",22.7,$1.71B,2015,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dea,
EGP,"EastGroup Properties, Inc.",120.47,$4.7B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/egp,
EMN,Eastman Chemical Company,75.89,$10.31B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/emn,
KODK,Eastman Kodak Company,2.18,$95.34M,n/a,Miscellaneous,Industrial Machinery/Components,https://old.nasdaq.com/symbol/kodk,
ETN,"Eaton Corporation, PLC",94.57,$37.83B,n/a,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/etn,
ETV,Eaton Vance Corporation,14.23,$1.29B,2005,n/a,n/a,https://old.nasdaq.com/symbol/etv,
ETW,Eaton Vance Corporation,8.75,$940.51M,2005,n/a,n/a,https://old.nasdaq.com/symbol/etw,
EV,Eaton Vance Corporation,37.34,$4.27B,n/a,Finance,Investment Managers,https://old.nasdaq.com/symbol/ev,
EOI,Eaton Vance Enhance Equity Income Fund,14.91,$586.32M,2004,n/a,n/a,https://old.nasdaq.com/symbol/eoi,
EOS,Eaton Vance Enhanced Equity Income Fund II,17.95,$887.19M,2005,n/a,n/a,https://old.nasdaq.com/symbol/eos,
EFT,Eaton Vance Floating Rate Income Trust,11.51,$458.83M,2004,n/a,n/a,https://old.nasdaq.com/symbol/eft,
EFL,Eaton Vance Floating-Rate 2022 Target Term Trust,8.36,$197.43M,2017,n/a,n/a,https://old.nasdaq.com/symbol/efl,
EFF,Eaton vance Floating-Rate Income Plus Fund,13.9,$105.73M,2013,n/a,n/a,https://old.nasdaq.com/symbol/eff,
EHT,Eaton Vance High Income 2021 Target Term Trust,9.51,$204.13M,2016,n/a,n/a,https://old.nasdaq.com/symbol/eht,
ETX           ,Eaton Vance Municipal Income 2028 Term Trust,21.0204,$227.9M,2013,n/a,n/a,https://old.nasdaq.com/symbol/etx,
EOT,Eaton Vance Municipal Income Trust,19.865,$304.2M,2009,n/a,n/a,https://old.nasdaq.com/symbol/eot,
